neighborhood,count
Windgap,1
Upper Hill,1
Manchester,1
Bedford Dwellings,1
Spring Hill-City View,1
Mt. Oliver,1
Northview Heights,1
Point Breeze North,1
California-Kirkbride,1
Friendship,2
Duquesne Heights,2
Crawford-Roberts,2
Homewood West,2
Perry South,2
Terrace Village,2
Arlington,2
Elliott,3
South Oakland,3
East Hills,3
Crafton Heights,3
Regent Square,3
Knoxville,4
Brighton Heights,4
Morningside,4
Overbrook,4
Sheraden,4
Spring Garden,4
South Side Slopes,5
Westwood,5
West Oakland,5
Homewood North,5
Allegheny Center,5
Lincoln Place,5
Beltzhoover,5
Homewood South,6
Bon Air,6
Point Breeze,6
West End,7
Allentown,7
Polish Hill,7
Hazelwood,7
Banksville,8
Oakwood,8
Highland Park,8
Middle Hill,9
Marshall-Shadeland,10
Central Northside,11
Larimer,11
Allegheny West,13
Garfield,13
Beechview,14
Greenfield,15
Upper Lawrenceville,15
Squirrel Hill North,21
Lincoln-Lemington-Belmar,21
Bluff,21
East Allegheny,23
East Liberty,24
Brookline,24
Mount Washington,27
Lower Lawrenceville,27
South Shore,28
Chateau,30
Carrick,31
Central Lawrenceville,47
Troy Hill,59
Shadyside,62
Squirrel Hill South,63
North Oakland,63
Strip District,65
Central Oakland,72
North Shore,74
Bloomfield,79
South Side Flats,133
Central Business District,277
